seq,count
1,19
2,113
3,41
4,1425
5,38
6,27
7,19
8,19
9,33
10,43
11,23
12,27
13,29
14,29
15,29
16,19
17,19
18,25
19,21
20,21
21,33
22,19
23,25
24,21
25,38
26,19
27,31
28,33
29,19
30,21
31,25
32,37
33,25
34,33
35,61
36,45
37,23
38,19
39,89
40,57
41,21
42,23
43,19
44,23
45,25
46,19
47,45
48,43
49,21
50,21
51,19
52,21
53,19
54,21
55,25
56,31
57,25
58,25
59,25
60,27
61,45
62,19
63,19
64,27
65,21
66,25
67,25
68,21
69,21
70,31
71,19
72,29
73,35
74,41
75,21
76,59
77,38
78,19
79,33
80,19
81,27
82,19
83,126
84,37
85,59
86,19
87,21
88,19
89,19
90,108
91,19
92,23
93,19
94,23
95,21
96,43
97,126
98,21
99,29
100,19
101,45
102,27
103,19
104,21
105,25
106,39
107,19
108,27
109,23
110,19
111,29
112,23
113,19
114,23
115,19
116,29
117,59
118,43
119,27
120,27
121,19
122,19
123,25
124,19
125,21
126,25
127,84
128,19
129,39
130,39
131,27
132,23
133,19
134,29
135,19
136,19
137,39
138,23
139,21
140,23
141,27
142,23
143,19
144,25
145,71
146,21
147,39
148,45
149,39
150,23
151,21
152,19
153,23
154,25
155,19
156,27
157,19
158,23
159,21
160,35
161,27
162,37
163,21
164,19
165,21
166,85
167,21
168,47
169,27
170,19
171,76
172,25
173,45
174,21
175,21
176,27
177,19
178,35
179,21
180,29
181,27
182,23
183,41
184,21
185,21
186,57
187,21
188,19
189,21
190,25
191,19
192,23
193,63
194,23
195,31
196,21
197,19
198,43
199,27
200,51
201,21
202,33
203,38
204,27
205,21
206,19
207,25
208,19
209,95
210,29
211,25
212,19
213,25
214,19
215,38
216,27
217,43
218,23
219,31
220,21
221,23
222,27
223,23
224,23
225,19
226,33
227,19
228,33
229,23
230,81
231,19
232,19
233,43
234,19
235,57
236,19
237,21
238,55
239,25
240,19
241,21
242,33
243,25
244,37
245,19
246,37
247,43
248,23
249,25
250,27
251,58
252,25
253,21
254,19
255,21
256,23
257,19
258,165
259,19
260,27
261,29
262,25
263,19
264,29
265,31
266,21
267,49
268,21
269,31
270,21
271,57
272,21
273,23
274,21
275,31
276,25
277,23
278,23
279,21
280,21
281,19
282,21
283,35
284,19
285,27
286,25
287,27
288,57
289,23
290,21
291,27
292,25
293,59
294,37
295,19
296,35
297,31
298,19
299,21
300,33
301,21
302,25
303,21
304,21
305,23
306,23
307,21
308,31
309,23
310,25
311,25
312,19
313,37
314,114
315,31
316,23
317,25
318,19
319,23
320,63
321,39
322,230
323,27
324,29
325,41
326,21
327,19
328,37
329,21
330,55
331,19
332,19
333,25
334,19
335,19
336,27
337,19
338,19
339,19
340,31
341,19
342,29
343,27
344,21
345,21
346,21
347,19
348,38
349,27
350,21
351,19
352,25
353,38
354,19
355,19
356,41
357,92
358,27
359,21
360,31
361,19
362,19
363,27
364,27
365,57
366,21
367,19
368,19
369,21
370,29
371,21
372,31
373,25
374,23
375,27
376,23
377,42
378,23
379,19
380,23
381,29
382,21
383,23
384,21
385,37
386,19
387,38
388,19
389,23
390,29
391,19
392,27
393,23
394,23
395,35
396,31
397,23
398,27
399,25
400,29
401,25
402,67
403,45
404,46
405,23
406,21
407,19
408,21
409,27
410,63
411,21
412,47
413,45
414,19
415,57
416,21
417,23
418,29
419,31
420,41
421,21
422,23
423,19
424,19
425,27
426,19
427,21
428,21
429,37
430,21
431,23
432,21
433,23
434,23
435,41
436,19
437,31
438,19
439,29
440,19
441,19
442,29
443,41
444,25
445,71
446,19
447,25
448,67
449,19
450,23
451,37
452,23
453,21
454,23
455,41
456,50
457,19
458,29
459,19
460,19
461,42
462,21
463,19
464,55
465,21
466,23
467,25
468,19
469,23
470,19
471,21
472,23
473,57
474,61
475,63
476,19
477,23
478,29
479,19
480,27
481,21
482,19
483,19
484,41
485,19
486,19
487,19
488,19
489,38
490,21
491,25
492,23
493,49
494,21
495,29
496,23
497,23
498,23
499,19
500,31
501,25
502,63
503,43
504,21
505,31
506,38
507,21
508,19
509,19
510,57
511,27
512,23
513,25
514,43
515,43
516,19
517,21
518,41
519,19
520,29
521,23
522,21
523,19
524,19
525,21
526,19
527,21
528,43
529,23
530,31
531,19
532,19
533,35
534,21
535,21
536,29
537,21
538,25
539,21
540,21
541,23
542,33
543,19
544,37
545,19
546,27
547,27
548,27
549,23
550,27
551,19
552,33
553,21
554,29
555,19
556,19
557,19
558,21
559,45
560,25
561,25
562,41
563,50
564,41
565,27
566,19
567,19
568,19
569,21
570,19
571,21
572,25
573,29
574,21
575,21
576,19
577,27
578,21
579,23
580,21
581,25
582,19
583,19
584,27
585,21
586,27
587,41
588,77
589,19
590,27
591,37
592,33
593,25
594,19
595,33
596,87
597,23
598,39
599,19
600,21
601,23
602,19
603,57
604,21
605,23
606,29
607,21
608,19
609,31
610,21
611,39
612,19
613,19
614,41
615,19
616,21
617,35
618,27
619,27
620,23
621,42
622,49
623,19
624,39
625,41
626,49
627,25
628,21
629,21
630,35
631,27
632,19
633,35
634,19
635,23
636,35
637,25
638,21
639,23
640,23
641,19
642,19
643,21
644,39
645,19
646,29
647,19
648,21
649,23
650,23
651,27
652,29
653,19
654,38
655,33
656,27
657,25
658,27
659,19
660,25
661,21
662,25
663,21
664,25
665,19
666,55
667,37
668,19
669,19
670,31
671,58
672,21
673,35
674,19
675,21
676,25
677,45
678,38
679,29
680,19
681,23
682,21
683,19
684,23
685,29
686,25
687,29
688,23
689,76
690,27
691,73
692,29
693,45
694,35
695,23
696,19
697,19
698,19
699,19
700,19
701,29
702,23
703,23
704,19
705,23
706,19
707,23
708,21
709,25
710,19
711,29
712,19
713,21
714,19
715,45
716,21
717,100
718,29
719,19
720,19
721,19
722,23
723,19
724,23
725,19
726,39
727,31
728,19
729,31
730,41
731,25
732,19
733,27
734,21
735,167
736,19
737,19
738,33
739,31
740,25
741,21
742,79
743,39
744,23
745,25
746,25
747,19
748,21
749,27
750,23
751,19
752,19
753,19
754,25
755,21
756,23
757,21
758,25
759,19
760,23
761,23
762,23
763,23
764,25
765,29
766,19
767,23
768,19
769,19
770,33
771,33
772,25
773,23
774,57
775,19
776,25
777,29
778,19
779,27
780,29
781,19
782,27
783,19
784,43
785,33
786,27
787,31
788,23
789,21
790,45
791,37
792,23
793,33
794,21
795,25
796,19
797,19
798,19
799,27
800,29
801,29
802,29
803,19
804,19
805,99
806,21
807,51
808,23
809,37
810,29
811,29
812,46
813,23
814,57
815,33
816,23
817,47
818,19
819,23
820,29
821,38
822,23
823,42
824,21
825,42
826,21
827,21
828,19
829,25
830,19
831,23
832,25
833,29
834,31
835,25
836,23
837,25
838,19
839,97
840,21
841,41
842,41
843,19
844,19
845,19
846,19
847,23
848,23
849,21
850,41
851,37
852,51
853,19
854,29
855,41
856,25
857,37
858,21
859,21
860,19
861,53
862,19
863,35
864,19
865,29
866,23
867,31
868,19
869,23
870,23
871,37
872,76
873,19
874,23
875,33
876,21
877,23
878,21
879,19
880,19
881,19
882,89
883,25
884,21
885,19
886,35
887,23
888,19
889,53
890,25
891,19
892,47
893,19
894,19
895,27
896,19
897,25
898,41
899,37
900,21
901,21
902,31
903,19
904,27
905,21
906,31
907,31
908,23
909,27
910,37
911,23
912,51
913,23
914,23
915,71
916,23
917,39
918,27
919,19
920,19
921,21
922,29
923,23
924,19
925,39
926,31
927,27
928,25
929,29
930,23
931,62
932,19
933,21
934,23
935,19
936,19
937,29
938,29
939,27
940,39
941,27
942,23
943,23
944,23
945,23
946,19
947,25
948,23
949,37
950,23
951,21
952,25
953,23
954,23
955,23
956,23
957,19
958,33
959,123
960,25
961,33
962,27
963,41
964,25
965,33
966,21
967,19
968,67
969,21
970,21
971,29
972,37
973,35
974,45
975,19
976,23
977,23
978,19
979,21
980,23
981,19
982,21
983,23
984,21
985,25
986,23
987,21
988,27
989,27
990,27
991,25
992,19
993,29
994,19
995,25
996,23
997,19
998,21
999,38
1000,19
1001,19
1002,31
1003,25
1004,19
1005,27
1006,19
1007,21
1008,27
1009,37
1010,19
1011,27
